Size,aes11,aes12,aes14,rocca11,rocca13,rocca16
3840,18.237455954754914,13.215481142660163,10.216763042874414,8.970572368990037,5.648100127885769,3.4640138443505633
3841,18.24191509793581,13.218646984710436,10.219087858887631,8.972247737400501,5.649091584348048,3.4645182078270933
3842,18.246374165700317,13.221812746330121,10.221412605560614,8.9739230647054,5.650083010501345,3.4650226087166276
3843,18.250833158020118,13.22497842747786,10.223737282876037,8.975598350909312,5.651074406320349,3.4655270470092017
3844,18.255292074866894,13.22814402811228,10.226061890816576,8.977273596016808,5.6520657717797524,3.466031522694849
3845,18.259750916212326,13.231309548192026,10.2283864293649,8.978948800032471,5.653057106854242,3.4665360357636033
3846,18.264209682028095,13.234474987675732,10.230710898503686,8.980623962960873,5.6540484115185095,3.4670405862054996
3847,18.268668372285887,13.237640346522033,10.233035298215606,8.982299084806595,5.6550396857472425,3.467545174010572
3848,18.273126986957383,13.240805624689566,10.235359628483335,8.983974165574207,5.656030929515132,3.4680497991688544
3849,18.277585526014256,13.243970822136966,10.237683889289546,8.98564920526829,5.657022142796866,3.4685544616703816
3850,18.2820439894282,13.24713593882287,10.240008080616912,8.987324203893419,5.658013325567135,3.469059161505187
3851,18.28650237717089,13.250300974705919,10.242332202448107,8.98899916145417,5.65900447780063,3.469563898663306
3852,18.290960689214007,13.253465929744742,10.244656254765806,8.990674077955124,5.659995599472039,3.4700686731347714
3853,18.295418925529237,13.25663080389798,10.24698023755268,8.99234895340085,5.660986690556051,3.470573484909618
3854,18.299877086088255,13.259795597124269,10.249304150791405,8.994023787795928,5.661977751027357,3.471078333977881
3855,18.30433517086275,13.262960309382244,10.251627994464652,8.995698581144936,5.662968780860646,3.471583220329593
3856,18.308793179824402,13.266124940630542,10.2539517685551,8.99737333345245,5.6639597800306065,3.4720881439547897
3857,18.313251112944887,13.2692894908278,10.256275473045415,8.999048044723043,5.66495074851193,3.472593104843504
3858,18.317708970195895,13.272453959932655,10.258599107918277,9.000722714961295,5.665941686279305,3.4730981029857704
3859,18.3221667515491,13.275618347903741,10.260922673156356,9.00239734417178,5.66693259330742,3.473603138371624
3860,18.32662445697619,13.278782654699695,10.263246168742329,9.004071932359075,5.667923469570968,3.4741082109910986
3861,18.331082086448845,13.281946880279156,10.265569594658865,9.005746479527758,5.668914315044635,3.4746133208342282
3862,18.335539639938744,13.285111024600758,10.267892950888642,9.007420985682407,5.669905129703111,3.475118467891047
3863,18.339997117417568,13.288275087623138,10.270216237414331,9.009095450827594,5.670895913521088,3.4756236521515893
3864,18.344454518857003,13.291439069304932,10.272539454218606,9.010769874967895,5.671886666473253,3.47612887360589
3865,18.348911844228727,13.294602969604776,10.274862601284141,9.012444258107891,5.672877388534297,3.4766341322439818
3866,18.353369093504426,13.29776678848131,10.27718567859361,9.014118600252157,5.673868079678909,3.4771394280559003
3867,18.357826266655778,13.300930525893166,10.279508686129688,9.015792901405266,5.674858739881779,3.477644761031679
3868,18.362283363654466,13.30409418179898,10.281831623875044,9.0174671615718,5.675849369117597,3.4781501311613523
3869,18.366740384472177,13.307257756157393,10.284154491812355,9.01914138075633,5.676839967361051,3.478655538434955
3870,18.371197329080584,13.310421248927039,10.286477289924296,9.020815558963438,5.677830534586832,3.4791609828425205
3871,18.375654197451368,13.313584660066553,10.288800018193538,9.022489696197695,5.6788210707696285,3.479666464374083
3872,18.38011098955622,13.316747989534573,10.291122676602756,9.024163792463678,5.6798115758841305,3.4801719830196776
3873,18.38456770536681,13.319911237289736,10.293445265134622,9.025837847765969,5.6808020499050285,3.4806775387693376
3874,18.38902434485483,13.323074403290674,10.29576778377181,9.027511862109138,5.68179249280701,3.481183131613098
3875,18.393480907991957,13.32623748749603,10.298090232496996,9.029185835497765,5.682782904564767,3.481688761540992
3876,18.397937394749878,13.329400489864435,10.300412611292852,9.030859767936425,5.683773285152987,3.482194428543055
3877,18.402393805100264,13.33256341035453,10.30273492014205,9.032533659429696,5.684763634546361,3.4827001326093203
3878,18.406850139014804,13.335726248924948,10.305057159027267,9.034207509982153,5.685753952719577,3.4832058737298226
3879,18.411306396465182,13.338889005534325,10.307379327931175,9.03588131959837,5.686744239647327,3.4837116518945965
3880,18.415762577423074,13.3420516801413,10.309701426836446,9.03755508828293,5.687734495304298,3.484217467093675
3881,18.420218681860163,13.34521427270451,10.312023455725756,9.039228816040405,5.688724719665182,3.4847233193170934
3882,18.424674709748132,13.348376783182587,10.314345414581778,9.04090250287537,5.689714912704666,3.4852292085548857
3883,18.42913066105866,13.35153921153417,10.316667303387185,9.042576148792406,5.690705074397441,3.4857351347970855
3884,18.433586535763435,13.354701557717897,10.31898912212465,9.044249753796084,5.691695204718197,3.486241098033728
3885,18.438042333834137,13.357863821692403,10.32131087077685,9.045923317890987,5.692685303641622,3.486747098254847
3886,18.442498055242442,13.361026003416324,10.323632549326454,9.047596841081685,5.693675371142407,3.4872531354504765
3887,18.446953699960037,13.364188102848296,10.325954157756138,9.049270323372758,5.6946654071952425,3.4877592096106507
3888,18.4514092679586,13.367350119946954,10.328275696048578,9.050943764768782,5.6956554117748155,3.4882653207254046
3889,18.455864759209817,13.37051205467094,10.330597164186443,9.052617165274333,5.696645384855817,3.4887714687847713
3890,18.460320173685364,13.373673906978883,10.332918562152411,9.054290524893986,5.697635326412936,3.4892776537787853
